separation, propensity, length, PredSS_r1_-1, PredSS_r1, PredSS_r1_1, PredSS_r2_-1, PredSS_r2, PrSS_fq_cn_H, PrSS_fq_cn_E, PrSS_fq_cn_C, PrCN_fq_cn_0, PrRCH_fq_cn0, PrRCH_fq_cn1, PrSA_fq_cn_0, PrSA_fq_cn_4, PrRCH_r1_-1, PrRCH_r1, PrRCH_r1_1, PrRCH_r2_-1, PrRCH_r2, PrRCH_r2_1, PrCN_r1_-1, PrCN_r1, PrCN_r1_1, PrCN_r2, PrSA_r1, PrSA_r2_-1, PrSA_r2, PrSA_r2_1, PrRCH_fq_gl0, PrRCH_fq_gl4, AA_fq_cn_A, AA_fq_cn_D, AA_fq_cn_E, AA_fq_cn_I, AA_fq_cn_F, PrSS_fq_gl_H, PrCN_fq_gl_0, PrSA_fq_gl_0, PSSM_r1_-4_A, PSSM_r1_-4_N, PSSM_r1_0_D, PSSM_r1_1_W, PSSM_r2_0_A, PSSM_cn_-2_A, PSSM_cn_-2_T, PSSM_cn_0_H, PSSM_cn_2_D, PSSM_cn_2_V, class
32,-0.264777000864015,367,E,E,C,C,C,0.323,0.129,0.548,0.355,0.484,0.226,0.161,0.355,3,3,0,0,1,3,3,3,1,1,0,4,3,2,0.213,0.253,0.097,0.065,0.097,0.065,0.0,0.302,0.172,0.332,-3,-5,-5,-4,-1,-1,1,-5,1,-3,negative
43,-0.0431979343881876,1244,C,C,C,H,H,0.262,0.0,0.738,0.286,0.286,0.167,0.167,0.262,3,3,3,3,3,0,4,3,3,3,1,0,1,3,0.198,0.27,0.143,0.119,0.071,0.071,0.048,0.211,0.16,0.26,-1,-3,-5,1,0,0,-1,-2,-2,2,negative
266,-0.598922433341412,273,C,C,C,C,C,0.272,0.0,0.728,0.125,0.196,0.064,0.162,0.234,3,3,3,3,3,0,3,3,3,3,3,1,3,3,0.201,0.337,0.079,0.075,0.049,0.011,0.042,?,0.121,0.161,-2,-3,3,9,-4,-1,1,-2,0,-1,positive
68,-0.362964337188866,402,C,C,E,H,H,0.179,0.149,0.672,0.015,0.104,0.075,0.403,0.104,3,4,3,3,0,3,3,3,3,1,2,0,3,2,0.214,0.226,0.09,0.06,0.045,0.045,0.06,0.433,0.132,?,-2,-5,8,-6,0,-1,-2,2,-4,2,negative
48,0.551778417434986,140,C,E,E,?,H,0.404,0.298,0.298,0.106,0.255,0.085,0.234,0.213,4,3,3,3,3,3,3,4,3,4,0,3,0,0,0.207,0.064,0.128,0.064,0.191,0.021,0.064,0.229,0.107,0.271,-2,-3,-5,-4,0,0,0,-5,-3,-1,negative
141,-0.504346507360844,620,C,C,C,C,C,0.057,0.321,0.621,0.157,0.3,0.107,0.129,0.243,0,0,0,3,4,4,1,0,0,4,4,1,4,1,0.274,0.144,0.107,0.064,0.071,0.043,0.036,0.068,0.145,0.177,1,0,1,2,3,-3,-3,-6,0,-2,negative
75,-0.809388092833644,133,H,H,H,E,E,0.338,0.216,0.446,0.378,0.338,0.176,0.203,0.432,1,0,3,3,0,0,1,0,3,1,3,1,4,4,0.429,0.0,0.135,0.027,0.108,0.014,0.014,0.256,0.391,0.173,2,0,0,-3,-1,-1,-2,-2,-4,-2,negative
148,-0.122603329060422,158,C,C,E,C,C,0.0,0.463,0.537,0.156,0.306,0.095,0.19,0.265,0,1,3,3,0,X,1,2,4,1,3,2,4,X,0.316,0.038,0.041,0.061,0.054,0.075,0.02,0.0,0.152,0.19,-1,1,-3,-2,2,-1,-3,0,-3,-1,positive
41,-0.59042833252524,81,C,C,E,E,E,0.175,0.325,0.5,0.15,0.275,0.2,0.25,0.15,3,3,3,3,3,3,4,4,4,3,1,0,2,0,0.284,0.012,0.025,0.05,0.05,0.075,0.05,0.21,0.173,0.235,0,0,-4,-3,-2,-4,-5,-1,-9,-2,negative
34,0.147030704060682,171,E,E,E,C,C,0.0,?,0.636,0.03,0.121,0.091,0.303,0.121,4,3,3,3,3,0,4,4,4,3,1,3,3,4,0.246,0.076,0.061,0.03,0.0,0.03,0.03,0.193,0.123,0.164,5,-4,-6,0,3,-4,-4,-2,-2,-5,negative
119,-0.334728526624013,164,C,C,C,H,H,0.669,0.0,0.331,0.271,0.288,0.178,0.229,0.254,3,3,3,3,1,1,3,3,4,0,3,0,3,3,0.372,0.037,0.051,0.051,0.085,0.093,0.017,0.567,0.323,0.201,-1,-3,-2,-7,0,-2,0,0,5,-3,negative
74,0.0989227983205789,120,C,C,C,C,C,0.0,0.493,0.507,0.192,0.342,0.11,0.192,0.301,1,0,1,0,0,0,1,0,2,1,4,3,3,4,0.342,0.0,0.027,0.137,0.014,0.096,0.014,0.0,0.158,0.192,1,-2,2,-1,0,-4,-4,-9,-4,-1,positive
34,-1.62414912760972,425,C,C,C,H,H,0.03,0.303,0.667,0.152,0.121,0.121,0.303,0.182,3,0,3,4,4,4,0,1,3,4,4,1,1,0,0.209,0.238,0.091,0.121,0.061,0.0,0.03,0.238,0.118,0.287,0,0,2,-1,-7,-4,-4,-5,-4,4,negative
46,-0.755462394916418,151,C,C,E,C,C,0.2,0.267,0.533,0.089,0.267,0.089,0.156,0.244,3,0,3,0,3,?,3,1,3,3,3,4,4,X,0.258,0.04,0.067,0.044,0.111,0.0,0.111,0.245,0.132,0.219,2,-1,0,-3,?,4,-1,-3,-1,0,positive
66,-0.453080027406847,130,C,C,C,C,C,0.0,0.662,0.338,0.215,?,0.108,0.215,0.262,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0.354,0.023,0.046,0.046,0.046,0.031,0.015,0.138,0.331,0.177,0,2,1,-4,-2,-1,2,-1,-3,-3,negative
164,-0.543503555251413,386,H,H,H,C,C,0.196,0.27,0.534,0.202,0.27,0.117,0.331,0.282,1,3,1,0,0,1,1,3,1,0,0,4,4,4,0.321,0.106,0.092,0.086,0.031,0.055,0.018,0.259,0.215,0.251,2,-4,-6,-4,-2,-2,-5,-4,-3,-7,negative
27,-0.504346507360844,145,C,H,H,H,H,0.692,0.0,0.308,0.231,0.269,0.115,0.269,0.192,1,0,1,0,1,3,1,0,1,1,4,3,3,0,0.221,0.172,?,0.115,0.115,0.038,0.038,0.71,0.172,0.297,1,0,4,-5,3,2,-2,-3,-3,-2,negative
24,-0.906490955401671,172,H,H,H,H,H,?,0.0,0.217,0.087,0.13,0.043,0.478,0.13,3,3,3,0,3,3,3,3,3,3,3,4,2,0,0.279,0.11,0.13,0.174,0.043,0.13,0.043,0.744,0.25,0.262,5,0,-3,-6,-2,0,1,-3,0,-3,negative
18,-1.21703870652092,152,C,E,E,E,E,0.0,0.765,?,0.176,0.176,0.118,?,0.235,?,1,3,3,2,2,1,1,3,2,3,0,3,3,0.322,0.007,0.118,0.0,0.059,0.059,0.118,0.322,0.27,0.217,0,-1,0,-3,-2,1,3,-3,-1,-2,positive
54,1.41058573887302,477,H,H,H,E,E,0.604,0.132,0.264,0.17,0.226,0.151,0.264,0.151,0,2,0,3,3,?,0,3,1,4,1,3,1,0,0.243,0.176,0.075,0.019,0.132,0.057,0.0,0.419,0.201,0.252,?,-4,-2,-4,-2,2,-1,8,-2,1,negative
16,-0.0815048904778718,190,E,E,E,C,H,0.0,0.533,0.467,0.0,0.133,0.067,0.2,0.2,4,3,3,3,3,0,4,4,4,3,1,1,0,3,0.258,0.105,0.133,0.0,0.067,0.067,0.067,0.216,0.147,0.189,1,1,-3,-6,6,-2,-4,2,-3,0,negative
9,0.770422931925402,89,E,E,E,E,E,0.0,0.375,0.625,0.25,0.375,0.125,0.375,0.375,3,3,3,3,3,3,3,4,4,4,0,0,1,0,0.225,0.022,0.0,0.25,0.0,0.0,0.125,0.393,0.225,0.36,-2,1,-4,-3,-3,4,0,0,-2,0,negative
197,-0.261888415190075,764,C,C,H,C,C,0.378,0.077,0.546,0.138,0.194,0.143,0.286,0.163,3,4,3,3,3,3,3,3,3,4,0,2,0,0,0.223,0.226,0.071,0.066,0.056,0.066,0.051,0.365,0.161,0.313,-6,-6,-3,-5,-4,-4,-3,-5,-6,7,positive
63,-0.765311102421864,249,E,E,E,H,H,0.516,0.194,0.29,0.065,0.113,0.129,0.371,0.016,4,4,4,1,0,1,4,4,?,0,1,3,4,3,0.145,0.229,0.129,0.065,0.032,0.048,0.032,0.281,0.064,0.365,-3,-5,8,-5,2,-2,-1,-5,-6,6,negative
9,1.16304154068476,190,E,E,E,E,E,0.0,0.75,0.25,0.0,0.125,0.0,0.375,0.125,3,4,4,3,3,?,4,4,4,4,0,0,0,0,0.258,0.105,0.125,0.125,0.125,0.0,0.125,0.216,0.147,0.189,0,1,-6,-2,-5,-2,1,5,-2,-2,positive
86,0.822606178930669,340,C,E,E,E,E,0.0,0.529,0.471,0.329,0.341,0.2,?,0.376,1,3,2,3,3,3,2,4,3,3,0,3,0,0,0.335,0.024,0.047,0.082,0.059,0.047,0.024,0.006,0.326,0.168,-2,-4,-4,-3,-2,0,-2,-2,1,-4,negative
87,-0.458693071566617,285,E,E,E,E,E,0.0,0.605,0.395,0.14,0.256,0.151,0.174,?,1,0,1,1,3,0,1,1,2,1,3,3,3,4,0.204,0.067,0.035,0.035,0.093,0.023,0.047,?,0.105,0.253,0,-2,-1,2,-2,-1,5,-3,-2,1,negative
66,-0.479743680430727,183,H,H,H,H,H,0.508,0.0,0.492,0.0,0.062,0.262,0.338,0.062,3,1,3,3,3,3,4,3,3,3,3,0,3,0,0.12,0.005,0.046,0.062,0.077,0.077,0.046,0.525,0.016,0.301,-4,-3,-1,-3,-5,-2,-2,-6,-2,-4,positive
60,-0.0386979284569494,124,E,C,C,C,C,0.407,0.119,0.475,0.034,0.203,0.068,0.373,0.068,3,1,3,0,3,0,3,1,3,3,3,4,1,3,0.202,0.218,0.085,0.017,0.068,0.085,0.034,0.347,0.032,0.371,-1,3,-1,-6,2,0,-2,-3,-4,-5,negative
46,-0.490848489056317,198,E,E,E,H,C,0.444,0.2,0.356,0.022,0.222,0.0,0.556,0.089,3,3,4,3,0,3,4,4,4,0,0,3,4,3,0.237,0.197,0.111,0.0,0.044,0.089,0.044,0.328,0.066,0.399,1,0,-7,-6,1,0,?,-6,-1,-2,positive
105,1.40279843531977,150,E,E,C,C,E,0.375,0.115,0.51,0.087,0.192,0.125,0.337,0.106,4,4,4,3,4,4,4,4,4,4,0,1,0,0,0.213,0.173,0.087,0.038,0.058,0.048,0.058,0.32,0.12,0.32,-2,-3,-6,-6,1,-5,-5,-2,-2,-1,positive
45,-1.21703870652092,189,C,C,C,C,C,0.318,0.0,0.682,0.432,0.318,0.227,0.045,0.386,0,3,1,0,1,0,0,3,0,0,2,4,4,3,0.323,0.016,0.023,0.045,0.091,0.068,0.023,0.143,0.333,0.164,2,0,-3,-3,1,1,1,-2,-3,3,negative
15,-0.189674686452012,206,E,E,E,C,C,0.0,0.143,0.857,0.357,0.214,0.143,0.214,0.429,3,4,4,0,0,1,4,4,4,0,0,4,4,4,0.243,0.097,0.0,0.071,0.071,0.071,0.0,0.335,0.16,0.233,0,-1,-7,-4,0,-3,7,-6,-6,-3,negative
61,-0.0133210157374004,166,C,C,C,C,C,0.417,0.133,0.45,0.033,0.217,0.067,0.333,0.05,0,3,0,3,0,0,3,4,2,3,1,?,3,4,0.265,0.0,0.083,0.033,0.067,0.067,0.033,0.482,0.078,0.271,-1,3,-2,-1,-3,-2,-1,-3,1,-3,negative
24,0.586518323646123,85,C,H,H,H,H,0.609,0.0,0.391,0.348,0.478,0.217,0.087,0.304,0,3,1,1,3,2,1,3,1,3,1,3,0,3,0.412,0.0,0.087,0.043,0.13,0.043,0.043,0.635,0.282,0.153,-1,5,-6,-4,3,-2,3,3,-5,4,positive
250,0.702279193875034,865,C,C,C,H,H,0.285,0.177,0.538,0.141,0.189,0.133,0.261,0.169,4,4,4,3,3,0,4,4,4,4,1,0,1,3,0.238,0.129,0.064,0.088,0.056,0.044,0.064,0.394,0.168,0.242,-4,-3,-6,5,-4,-4,5,0,8,-7,negative
12,-0.649639039348611,409,C,C,E,E,E,0.0,0.545,0.455,0.0,0.091,0.091,0.182,0.0,3,3,3,3,3,3,3,3,4,4,3,0,0,0,0.284,0.076,0.091,0.182,0.0,0.0,0.091,0.064,0.142,0.174,1,2,1,-2,-4,?,1,-2,-2,0,positive
47,1.16304154068476,208,E,E,E,E,E,0.0,0.478,0.522,0.435,0.522,0.109,0.152,0.5,1,3,3,1,3,0,3,4,3,4,0,3,1,3,0.375,0.034,0.022,0.065,0.109,0.0,0.022,0.024,0.274,0.149,-1,0,-7,-6,1,-2,?,-1,-3,3,positive
96,-0.348437167796208,181,C,C,C,C,E,0.379,0.211,0.411,0.211,?,0.147,0.211,0.284,0,0,1,3,3,3,0,1,1,3,4,1,3,0,0.282,0.077,0.074,0.042,0.074,0.105,0.021,0.392,0.188,0.238,0,0,1,-5,-2,-1,2,-2,2,-3,negative
30,-0.104898000751839,58,C,C,C,C,C,0.448,0.069,0.483,0.448,0.31,0.276,0.103,0.241,0,0,0,0,3,3,1,1,0,4,4,3,1,0,0.328,0.0,0.069,0.069,0.034,0.034,0.069,0.224,0.345,0.138,-1,-1,-3,-3,0,-1,0,-5,-3,-4,positive
26,-0.143784113262591,129,H,H,H,H,H,0.88,0.0,0.12,0.04,0.0,0.24,0.24,0.04,3,3,3,2,3,1,3,3,2,3,3,2,0,3,0.217,0.016,0.04,0.0,0.08,0.08,0.04,0.605,0.233,0.194,-5,-5,-4,-2,-5,-2,1,1,-5,4,negative
49,0.0169851971460199,154,C,C,C,C,C,0.0,0.271,0.729,0.312,0.312,0.208,0.208,0.333,0,2,0,0,0,0,1,3,0,0,1,4,4,4,0.312,0.006,0.042,0.125,0.021,0.062,0.083,0.019,0.344,0.136,0,-1,-4,-3,?,0,5,-2,-4,3,negative
208,0.246295856109429,366,C,C,C,C,C,0.203,0.435,0.362,0.092,0.232,0.145,0.329,0.179,0,2,0,1,3,3,1,2,0,3,1,3,2,1,0.238,0.107,0.068,0.053,0.087,0.053,0.043,0.161,0.085,0.306,0,2,-1,-5,3,-2,0,2,-1,-2,negative
117,-0.402981896384358,134,H,C,C,C,C,0.319,0.19,0.491,0.25,0.284,0.164,0.147,0.267,0,1,3,0,3,0,0,2,3,3,3,3,1,3,0.276,0.03,0.06,0.06,0.103,0.052,0.052,0.358,0.246,0.142,2,-2,-3,-6,-2,-3,-3,-2,-3,1,positive
39,0.118216343339941,77,C,C,C,E,E,0.0,0.237,0.763,0.105,0.105,0.158,0.105,0.132,3,3,3,3,3,3,4,4,3,4,3,3,0,3,0.156,0.026,?,0.053,0.026,0.026,0.026,0.156,0.156,0.221,-4,-6,-2,-6,-2,-1,0,-6,-2,-3,negative
17,0.82397436666821,89,H,H,H,H,H,0.938,0.0,0.062,0.188,0.25,0.25,0.188,0.125,2,0,2,1,3,0,2,0,?,3,3,3,1,4,0.315,0.0,0.062,0.062,0.125,0.062,0.062,0.843,0.247,0.202,0,3,-1,-4,-3,-1,-1,-2,0,-1,negative
40,-0.591533697835984,250,C,C,C,H,H,0.282,0.103,0.615,0.077,0.205,0.051,0.333,0.077,3,3,3,3,0,0,3,3,3,0,2,0,4,4,0.24,0.244,0.231,0.077,0.051,0.0,0.077,0.324,0.136,0.352,-4,2,-5,-8,-1,2,-2,-6,-6,-8,negative
52,-0.574117543306636,144,C,C,C,C,C,0.0,0.627,0.373,0.255,0.333,0.098,0.275,0.314,0,0,1,0,3,3,0,0,0,3,4,4,4,0,0.368,0.09,0.078,0.039,0.0,0.0,0.039,0.118,0.306,0.188,1,-2,1,-3,-2,-1,1,-1,-1,-3,negative
69,2.63886391138699,126,X,C,C,C,C,0.0,0.338,0.662,0.265,0.324,0.206,0.132,0.338,X,0,0,3,3,3,X,4,1,4,0,0,1,0,0.341,0.032,0.088,0.044,0.044,0.044,0.059,0.063,0.294,0.143,0,0,-6,-4,-4,-1,1,3,-2,0,negative
9,0.702588629368436,138,E,E,E,E,E,0.0,0.375,0.625,0.375,0.375,0.25,0.125,0.375,3,3,3,1,2,1,4,4,?,2,0,4,2,4,0.326,0.0,0.0,0.125,0.0,0.0,0.0,0.232,0.377,0.123,0,-1,-3,0,-1,-1,-1,4,-1,-3,positive
226,-0.481313099700134,516,C,C,C,C,C,0.236,0.227,0.538,0.209,0.311,0.138,0.209,0.298,1,0,1,0,3,3,0,0,1,4,4,3,1,0,0.295,0.149,0.089,0.062,0.053,0.053,0.027,0.221,0.178,0.24,0,0,2,0,-5,-4,-1,-5,-4,-8,negative
31,0.0499590237830803,238,C,C,C,C,C,0.0,0.567,0.433,0.0,0.2,0.133,0.2,0.2,0,1,0,2,0,0,0,1,1,0,4,1,4,3,0.282,0.097,0.2,0.033,0.033,0.067,0.067,0.282,0.223,0.202,1,-1,2,-4,0,0,0,2,-5,-1,negative
16,-0.453080027406847,192,H,H,H,H,H,1.0,0.0,0.0,0.333,0.333,0.133,0.2,0.2,0,0,3,3,0,0,0,0,3,0,4,1,3,4,0.354,0.078,0.0,0.067,0.133,0.067,0.0,0.719,0.349,0.245,-1,-2,-2,-1,-2,0,0,-2,1,-3,negative
64,-0.0639871424720709,249,C,C,C,H,H,0.349,0.27,0.381,0.032,0.111,0.143,0.349,0.032,0,1,1,3,4,3,?,1,2,4,3,3,0,0,0.145,0.229,0.095,0.095,0.048,0.063,0.032,0.281,0.064,0.365,-4,-6,-2,-5,-4,0,-2,-5,-3,-3,negative
122,0.569305889031935,173,X,C,C,H,H,0.24,0.198,0.562,0.14,0.331,0.099,0.182,0.223,X,0,3,3,1,2,X,3,3,1,2,0,3,2,0.347,0.064,0.074,0.05,0.033,0.083,0.033,0.231,0.173,0.156,0,0,-7,-8,4,-1,-2,-1,-3,1,negative
56,0.438024347506295,194,H,H,H,E,C,0.4,0.073,0.527,0.2,0.291,0.073,0.236,0.236,3,3,0,3,1,0,3,3,0,2,0,3,4,4,0.335,0.036,0.091,0.055,0.091,0.073,0.0,0.211,0.242,0.227,-3,-6,-7,-7,1,1,0,-7,-8,4,negative
57,0.0793413827993367,113,C,C,C,C,C,0.143,0.482,0.375,0.143,0.304,0.214,0.161,0.196,0,0,1,0,3,3,0,0,2,3,4,4,3,3,0.301,0.053,0.089,0.054,0.071,0.054,0.0,0.071,0.115,0.168,-1,-4,1,1,-3,0,0,-2,1,0,positive
108,-0.568600568117784,141,C,C,C,H,H,0.29,0.196,0.514,0.037,0.112,0.131,0.336,0.178,0,3,1,3,3,3,2,3,0,4,3,1,0,0,0.142,0.057,0.112,0.028,0.075,0.056,0.047,0.234,0.071,0.298,-4,-4,-3,-5,6,6,1,-3,-3,-3,negative
31,0.702588629368436,293,E,E,E,E,E,0.433,0.067,0.5,0.433,0.5,0.1,0.133,0.467,3,3,3,3,4,4,4,3,4,4,2,0,0,0,0.314,0.171,0.267,0.033,0.0,0.0,0.033,0.317,0.205,0.181,-2,-1,-1,13,-3,0,-1,-3,-1,0,negative
77,0.145021228779734,222,C,E,E,C,C,0.0,0.25,0.75,0.197,0.224,0.118,0.237,0.316,3,0,3,3,3,0,3,2,4,3,3,3,1,4,0.284,0.099,0.079,0.053,0.053,0.026,0.039,0.0,0.207,0.203,-1,2,3,-5,-1,4,0,0,7,-4,positive
168,-0.722302163365221,247,C,C,E,C,C,0.168,0.329,0.503,0.359,0.389,0.192,0.126,0.365,1,3,3,0,0,0,1,3,4,0,3,4,4,3,0.381,0.004,0.036,0.078,0.042,0.078,0.036,0.219,0.336,0.13,1,3,-3,-3,0,0,1,1,2,-2,negative
118,0.0224579343750499,233,H,H,H,H,H,0.607,0.043,0.35,0.188,?,0.128,0.188,0.188,0,3,0,4,4,4,0,3,0,4,1,3,0,0,0.245,0.086,0.154,0.085,0.051,0.043,0.017,0.575,0.163,?,-5,-5,-4,-4,-3,0,1,-1,0,-2,negative
37,0.275783804396222,206,H,H,H,H,C,0.833,0.0,0.167,0.222,0.25,0.167,0.417,0.194,0,3,3,3,2,0,0,3,3,2,1,0,3,4,0.369,0.049,0.139,0.028,0.056,0.083,0.083,0.718,0.291,0.238,1,?,-3,-5,1,-2,-2,1,3,-1,negative
161,-0.143784113262591,187,H,H,H,H,H,0.787,0.0,0.212,0.194,0.194,0.119,0.306,0.131,2,2,1,4,3,3,2,2,0,4,2,0,1,3,0.209,0.128,0.15,0.056,0.1,0.087,0.013,0.775,0.209,0.278,-6,-4,-7,-7,-1,0,-4,0,-4,3,negative
61,-0.806811662032717,71,H,H,H,H,H,0.417,0.0,0.583,0.217,0.35,0.2,0.167,0.283,3,1,1,3,0,3,3,1,1,1,3,?,3,1,0.366,0.0,0.183,0.05,0.083,0.1,0.0,0.451,0.211,0.155,0,0,-1,-1,3,-1,-2,1,0,-1,negative
61,-0.479016067915334,321,C,E,E,C,C,0.117,0.283,0.6,0.05,0.183,0.15,0.25,0.133,0,3,2,0,0,1,2,3,2,1,1,4,4,3,0.237,0.1,0.067,0.067,0.067,0.033,0.017,0.146,0.115,0.271,1,-1,-7,-6,2,2,?,0,0,-5,negative
241,0.799936747909806,739,C,C,C,H,H,0.546,0.05,0.404,0.2,0.192,0.138,0.325,0.221,3,3,3,3,3,0,3,4,3,3,0,0,2,3,0.233,0.135,0.129,0.067,0.054,0.05,0.033,0.411,0.18,0.271,-4,0,-4,-4,-1,-1,-1,-4,-1,-1,negative
9,0.0224579343750499,103,C,C,C,E,E,0.0,0.25,0.75,0.0,0.25,0.125,0.125,0.0,1,3,0,3,3,3,1,3,3,4,3,3,0,0,0.35,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.136,0.155,-3,3,-1,-4,-1,-2,-1,-1,-3,2,negative
