@relation california
@attribute Longitude real[-124.35,-114.31]
@attribute Latitude real[32.54,41.95]
@attribute HousingMedianAge real[1,52]
@attribute TotalRooms real[2,39320]
@attribute TotalBedrooms real[1,6445]
@attribute Population real[3,35682]
@attribute Households real[1,6082]
@attribute MedianIncome real[0.4999,15.0001]
@attribute MedianHouseValue real[14999,500001] 
@inputs Longitude, Latitude, HousingMedianAge, TotalRooms, TotalBedrooms, Population, Households, MedianIncome
@outputs MedianHouseValue
@data
-117.92,33.57,37,3355,492,921,366,7.2988,500001
-118.31,33.94,44,1854,367,976,335,3.6583,126700
-120.77,37.42,27,949,224,888,241,2.3333,72800
-122.2,37.46,40,1723,208,976,209,9.8892,500001
-121.13,36.21,27,1476,352,1156,358,3.1929,137900
-117.63,34.37,20,7052,1306,2197,810,3.7252,167100
-117.71,34.06,16,1458,295,912,331,3.625,160400
-121.85,37.33,19,735,158,597,134,4.5208,188100
-122.7,38.45,39,2015,335,640,315,4.1734,240500
-119.23,35.79,31,2862,606,2467,600,2.3125,62100
-117.38,33.19,26,4123,1145,1703,895,1.9891,500000
-122.23,39.95,21,2087,382,888,361,2.207,86400
-118.3,34.11,25,1590,218,568,206,8.4389,500001
-122.21,37.47,33,1266,415,1991,334,2.92,202800
-117.87,33.86,28,2292,531,2197,509,3.4856,142800
-117.67,35.64,6,2115,342,927,337,6.1935,115700
-120.27,38.31,13,3297,662,267,97,3.075,108300
-120.43,38.25,13,763,161,311,125,2.4583,112500
-122.1,37.37,37,2511,354,945,348,8.3924,500001
-117.07,32.73,18,2968,656,1149,581,2.6452,154200
-118.99,35.27,32,444,102,242,87,1.1528,150000
-117.76,33.94,40,1092,213,457,190,5.1165,184200
-122.8,38.39,26,2273,474,1124,420,2.9453,166700
-118.27,33.94,30,1764,397,1406,362,1.449,93100
-118.29,33.84,23,3626,799,2321,731,4.7393,237900
-122.82,38.55,8,6190,1088,2967,1000,3.8616,195100
-117.93,33.78,36,2169,359,1018,370,4.3906,231300
-121.85,37.41,17,2156,435,1400,393,5.6096,199100
-117.41,33.94,33,2074,476,911,420,2.87,117600
-118.19,33.93,44,1613,345,1227,342,3.1667,145700
-122.19,37.47,44,1371,263,589,301,4.8068,312300
-118.58,34.06,25,4440,693,1560,636,8.8666,500001
-119.56,36.09,35,1648,285,792,265,3.2847,64700
-118.17,34.1,48,2514,595,2484,601,3.1146,142500
-122.7,38.34,19,2987,676,1782,688,2.8261,154500
-121.16,38.68,21,3517,667,1687,655,3.1161,131600
-122.09,37.66,39,1160,259,725,274,2.2222,158300
-119.43,36.55,27,1621,323,882,324,2.75,93500
-118.47,34.15,43,804,117,267,110,8.2269,500001
-119.28,35.52,36,786,194,573,134,2.2321,37500
-119.61,36.33,32,1492,284,926,264,3.0139,61500
-118.48,34.42,21,1375,259,728,258,5.0166,229000
-122.05,37.36,29,1733,255,679,278,7.5337,406800
-118.07,33.88,16,4934,825,2668,810,5.748,284200
-118.4,33.97,37,1364,248,494,242,4.6364,456300
-122.76,38.52,6,2073,388,826,375,3.055,224100
-122.25,40.66,15,2771,546,1423,505,3.6413,108500
-118.01,33.8,16,4021,701,1488,650,5.32,219500
-120.55,36.97,42,1766,344,1084,323,2.3295,74400
-118.28,34,42,855,284,890,247,1.2778,112500
-118.43,35.12,8,1968,376,930,360,3.2632,99800
-118.17,33.96,29,2913,787,3803,740,2.5556,146500
-118.13,34.02,43,396,91,261,73,2.9044,172900
-120.43,34.95,50,1966,413,985,403,2.3506,136100
-121.32,38.66,26,1149,193,500,194,5.078,163400
-117.05,33.26,14,3103,569,1704,539,3.7644,264700
-119.03,35.42,45,1628,352,754,334,2.5703,62400
-121.48,38.53,43,1378,280,708,280,2.3542,103900
-122.38,40.58,34,1262,267,520,259,1.6983,72600
-118.23,34.17,37,4524,1005,2099,937,3.5781,366700
-118.1,33.85,36,956,159,416,157,4.6429,223700
-118.09,33.92,36,847,185,713,194,4.8542,167400
-118.19,34.03,52,1053,246,1036,249,2.1071,136700
-118.85,34.27,50,187,33,130,35,3.3438,500001
-118.2,33.78,48,1766,497,1908,466,1.9872,168800
-118.42,34.23,33,2478,457,1567,446,5.6629,186700
-117.09,32.64,30,3171,862,2126,800,2.507,142700
-121.2,37.81,26,395,74,193,72,7.3718,212500
-121.67,36.66,19,9371,1980,4259,1882,3.6875,189700
-117.2,33.38,14,5392,821,2350,810,5.0507,291500
-121.44,38.52,36,3446,950,2460,847,1.6521,69700
-117.13,32.8,15,1606,375,784,342,3.7237,108300
-118.47,34.06,26,6577,1789,2937,1652,4.801,500001
-117.24,34.06,9,3603,786,1782,718,3.2604,93300
-122.77,38.33,32,2054,324,843,306,4.5875,290700
-120.01,38.92,25,1758,357,689,278,2.675,104200
-122.01,37.39,26,2500,962,2374,879,3.5586,222200
-118.43,34.03,36,1552,388,867,352,3.6467,346700
-122.22,37.79,49,1826,450,1201,424,2.5,136700
-122.12,37.42,35,2445,533,1187,519,5.2803,362100
-117.08,32.67,31,3008,764,2088,757,2.5662,118200
-117.97,34.07,22,1438,364,1325,335,2.7802,162500
-122.7,38.44,45,883,202,401,194,3.2845,178300
-117.93,33.84,23,2870,653,1680,598,3.2301,189900
-117.22,32.83,34,2936,597,1512,571,3.7841,176900
-121.83,37.23,7,5389,903,2232,825,6.6659,500001
-122.48,37.76,52,1845,336,1015,337,4.1397,331300
-119.32,36.21,29,1220,232,619,246,3.3125,78300
-117.91,33.64,40,1958,333,876,364,3.6406,326100
-117.87,34.11,34,1324,211,799,228,4.5234,192200
-122.13,37.46,31,2247,573,1711,511,3.2642,185600
-122.47,37.78,52,2635,587,1302,577,3.7292,416700
-119.78,36.65,27,1226,240,706,211,2.77,68400
-118.49,34.16,37,3333,488,1171,485,6.4958,500001
-121.46,38.51,18,2123,606,1576,599,1.5735,110000
-118.27,34.07,27,1190,518,1795,422,1.7016,160000
-117.01,32.7,25,2321,398,1434,386,3.5341,120800
-117.91,33.69,30,2704,426,1289,423,5.2815,229500
-121.7,37.98,9,3079,519,1562,512,5.1041,172900
-117.32,34.24,29,1290,263,323,113,1.9265,103300
-119.81,36.77,48,1805,329,741,331,2.5804,78900
-122.3,37.81,52,1224,237,521,159,1.191,76100
-117.23,32.79,23,2578,665,989,622,3.5484,238000
-120.12,41.4,33,2820,515,976,403,2.6062,52600
-117.84,33.77,14,4412,952,1656,874,4.3292,206500
-121.06,40.23,23,1127,225,215,85,3.4844,143800
-118.97,37.64,14,1847,439,238,98,3.6042,137500
-122.57,37.96,52,3458,468,1449,471,9.1834,500001
-117.33,33.16,29,3559,552,1533,545,4.0585,245500
-118.02,33.92,35,2075,424,1312,396,3.7969,164800
-118.42,34.28,29,1271,272,1338,266,4.125,150000
-116.11,33.64,20,1273,354,1548,355,2.0871,84700
-122.29,37.97,20,3426,632,1512,580,4.4911,227400
-118.82,35.2,34,2185,469,1910,455,2.1136,57300
-121.8,38.01,46,2273,495,1088,447,2.2532,109400
-118.57,34.18,36,2981,441,1243,413,6.5304,439800
-116.2,33.63,23,1152,273,1077,235,2.5,96300
-117.39,34.11,16,1140,181,627,206,4.9444,132700
-117.95,33.72,21,3107,483,1688,503,5.9582,288000
-118.29,33.93,31,3894,1017,3590,962,2.0437,137200
-122.03,37.27,25,4460,553,1608,561,10.7958,500001
-115.49,32.67,25,2322,573,2185,602,1.375,70100
-118.24,34.23,41,1912,308,896,314,5.3473,352700
-118.21,34.14,25,1908,628,1412,588,2.2267,189800
-119.65,36.34,46,1730,337,752,323,1.8529,67200
-118.25,33.86,26,3022,476,1852,452,6.0531,186400
-121.51,38.51,33,2918,439,1085,427,5.5208,171300
-121.98,37.36,34,1735,318,1019,301,4.5625,242700
-120.35,36.14,9,2671,647,1484,541,1.7075,60400
-117.24,33.93,12,7105,1447,4520,1333,3.2705,113200
-121.83,38.45,32,2139,440,1154,411,3.2672,107500
-122.4,38.46,33,2542,466,1099,420,4.635,248500
-122.49,37.63,34,696,145,398,162,3.525,254100
-118.16,33.88,33,2180,522,1634,467,3.0114,167000
-122.31,38.31,32,2577,458,1172,447,3.8796,175500
-117.72,34.05,31,2220,526,1662,472,2.7321,104300
-121.88,38,22,721,117,367,129,5.3098,151900
-117.66,35.62,11,5897,1138,2728,1072,4.15,85700
-117.06,32.57,18,1384,311,1429,287,1.3362,95000
-117.71,33.63,16,2497,500,1357,456,4.5909,241800
-118.5,34.24,34,2634,412,1114,423,5.9401,315300
-115.93,35.55,18,1321,272,754,226,3.4028,67500
-118.1,33.98,33,1927,482,1623,479,3.5268,152000
-121.87,37.3,28,859,199,455,211,2.3293,215900
-118.29,33.91,41,2475,532,1416,470,3.8372,156400
-118.12,34.08,49,1782,374,1010,367,3.1583,268200
-121.62,39.75,20,1173,261,523,258,1.0625,92800
-120.78,38.73,31,3117,616,1606,588,2.9844,127900
-122.03,37.69,20,200,25,83,31,6.5,340000
-122.27,37.54,5,2140,420,990,394,6.035,438800
-117.85,33.79,52,2102,403,898,365,3.6827,236800
-122.57,37.99,45,2404,425,926,400,4.9674,320100
-122.23,37.8,52,783,184,488,186,1.9375,126600
-116.24,33.72,25,5236,1039,2725,935,3.775,93400
-122.23,37.77,52,769,206,612,183,2.57,72000
-119.97,36.57,17,1497,308,1425,247,2.0313,69400
-121.91,37.33,52,2212,563,1195,532,2.894,209500
-118.75,34.1,34,2255,402,857,317,4.5333,377300
-118.29,33.98,48,1124,231,783,223,3.4444,93100
-117.82,33.72,24,3477,462,1593,484,6.8634,276500
-120.06,36.94,19,901,183,700,190,2.2375,64300
-118.35,33.89,25,1769,440,1371,414,3.0833,232700
-117.37,34,36,730,155,476,142,2.4306,88900
-118.12,34.06,23,1190,347,965,327,2.2261,211800
-121.92,37.24,26,6777,1051,3319,1061,6.3663,279400
-119.99,38.88,17,2807,529,675,251,2.7457,107800
-122.41,37.8,52,2892,751,1785,733,3.5746,350000
-118.28,34.11,46,1156,203,514,213,4.2019,352100
-118.31,34.26,34,1797,363,948,363,4.1339,187300
-122.17,37.77,39,1612,342,912,322,3.3958,141900
-116.98,32.72,4,1078,158,571,184,4.6667,223300
-118.12,33.84,37,2706,462,1331,476,5.0719,220000
-118.15,34.02,42,2729,725,3004,722,2.3438,154300
-119.87,36.54,34,1370,287,818,269,2.4044,72500
-118.26,34.02,39,698,232,1046,228,2.2356,119500
-122.02,37.96,25,2615,368,935,366,6.6727,305100
-121.84,38.65,29,3167,548,1554,534,4.3487,200700
-118.37,33.87,18,2516,485,1128,433,5.0114,338600
-121.99,37.97,30,3320,589,1470,543,4.6071,184100
-117.98,34.14,24,1596,388,1329,352,3.0417,148000
-122.38,37.73,15,6804,1664,4737,1581,1.4133,203400
-118.07,33.72,32,1179,250,369,209,5.1824,500001
-122.53,37.97,52,205,119,228,132,1.9063,200000
-119.29,34.4,22,3891,657,1727,581,4.2656,241400
-117.13,32.76,41,1545,420,747,415,2.375,154400
-119.85,34.48,23,1915,277,724,267,6.2987,348200
-117.91,34.1,28,3694,722,1999,718,3.2813,181100
-122.09,37.38,34,1959,342,849,357,6.2884,414700
-120.99,39.18,23,2550,457,1016,405,3.6607,153000
-117.94,33.94,30,1596,307,845,309,4.5096,241100
-118.38,34.02,31,1893,450,819,426,4.3077,140600
-122.68,38.98,27,2300,508,526,254,2.1838,109700
-117.05,32.76,46,1887,359,795,358,3.25,159600
-122.19,37.79,50,954,217,546,201,2.6667,172800
-118.12,34.71,46,40,10,14,7,1.125,225000
-122.31,38.3,45,3023,659,1789,657,3.6039,126000
-121.16,38.03,28,253,50,201,51,1.4732,156300
-119.26,35.87,24,1590,390,1686,372,1.6469,47600
-114.64,34.83,10,2502,573,1152,481,1.7062,86800
-122.13,37.77,24,2459,317,916,324,7.0712,293000
-121.42,38.49,17,13180,2444,7235,2335,3.363,103000
-120.38,37.97,47,1060,219,496,205,2.5781,104800
-117.22,32.75,34,6001,1111,2654,1072,4.5878,291000
-118.15,33.77,36,4366,1211,1912,1172,3.5292,361800
-121.33,37.98,9,2370,424,1129,386,5.143,176500
-118.13,34.15,18,1665,477,1095,390,2.6038,155600
-119.35,36.33,14,1195,220,568,229,3.1486,105600
-118.19,34.65,33,1781,326,913,314,3.9963,126800
-122.02,37.3,32,2134,328,903,322,6.359,341900
-122.35,37.91,4,2851,798,1285,712,4.2895,186800
-118.16,33.91,28,2922,739,3013,673,2.9531,127100
-117.91,34.05,35,3189,527,1727,500,5.0758,211100
-120.17,39.32,14,2421,489,1000,354,3.5652,119800
-119.57,36.7,30,2370,412,1248,410,3.1442,72300
-119.78,36.77,45,1315,256,666,240,2.3562,58100
-121.15,38.91,23,1654,299,787,299,4.2723,193100
-117.14,32.7,43,1126,289,1132,294,2.1875,87000
-121.89,37.3,52,2071,362,825,364,4.2414,284800
-117.17,33.18,25,596,115,426,137,3.0221,214300
-118.38,33.95,29,1821,588,1397,523,2.5833,187500
-118.36,33.98,46,1425,283,782,273,5.057,246300
-116.31,33.65,8,3079,558,1572,474,4.5938,102600
-117.6,33.41,29,2193,389,922,387,4.5476,309200
-116.96,32.8,24,2493,693,1420,643,1.8357,104200
-122.04,37.12,30,1427,311,686,251,4.0781,154500
-122.28,37.88,52,957,188,403,172,3.2344,245500
-121.96,37.35,32,1484,274,673,272,5.2019,279900
-120.04,36.93,11,3606,699,2074,644,2.6941,63300
-121.36,37.96,32,614,95,227,107,3.9922,247400
-121,37.62,28,1153,420,1043,357,1.0801,75000
-121.42,38.53,37,1958,367,1171,366,2.8298,71200
-122.27,37.85,42,1639,367,929,366,1.7135,159800
-118.94,35.37,23,1106,252,790,230,1.8523,59700
-118.53,34.09,37,5477,833,1925,757,8.1888,500001
-118.3,33.94,36,3504,862,2521,836,2.5679,114900
-122.13,37.67,40,1748,318,914,317,3.8676,184000
-122.07,37.86,17,1102,224,317,208,3.5893,206300
-118.53,34.25,20,6331,1537,2957,1509,3.3892,323100
-117.96,34.03,35,1623,331,1462,312,3.9803,152600
-118.18,33.93,31,1516,400,1820,398,2.1641,122900
-121.47,38.48,25,2969,551,1745,487,2.6382,76200
-123.84,39.83,19,1461,340,515,227,1.5278,145800
-117.38,33.96,30,3153,623,1544,575,3.4491,133800
-117.98,33.8,35,2114,341,1077,343,5.4876,227500
-119.3,36.32,23,3521,615,1712,636,3.3875,92500
-121.47,38.95,34,2129,350,969,314,2.7039,106300
-116.42,33.68,15,3895,782,900,529,2.2208,138300
-120.41,38.03,14,2061,465,859,462,2.1289,115300
-118.35,34.09,35,1989,634,1108,593,1.6081,288900
-122.46,37.73,52,2857,469,1431,496,5.2088,344200
-117.24,32.94,12,2165,437,792,386,5.2648,294400
-124.1,41.04,26,1633,380,890,370,1.9741,97900
-121.36,38.39,10,5121,763,2568,758,5.2447,148100
-122.18,37.45,43,2061,437,817,385,4.4688,460200
-120.35,37.95,13,2104,407,960,401,2.4,177000
-121.61,36.68,37,3149,833,3456,788,2.8542,127600
-117.22,33.93,14,5104,1026,3513,972,3.2148,117000
-122.03,37.34,16,1755,410,674,410,5.1602,231200
-117.15,32.74,43,2383,607,962,587,2.2578,263600
-118.26,34.06,42,2541,1282,3974,1189,1.5854,87500
-117.58,34.11,14,11635,2055,6443,2009,4.7547,157600
-122.22,38.1,40,2549,478,1275,494,2.9469,111600
-122.02,37.38,43,1261,317,836,333,4.0911,224600
-118.28,33.93,52,117,33,74,45,0.4999,90600
-122.58,38.59,33,1239,262,539,246,3.5208,195800
-117.66,34.09,26,1151,200,593,188,3.6667,166300
-120.85,37.5,52,1724,352,922,348,1.7227,85700
-117.64,34.06,50,637,143,590,147,1.9659,85700
-119.8,36.75,41,1659,466,1391,447,1.3527,61200
-117.2,34.14,18,1920,333,890,323,5.159,144800
-122.49,37.74,52,2302,457,1154,424,4.5744,315200
-122.22,37.46,37,2586,495,1208,502,4.3214,342700
-118.38,33.84,25,5775,1149,2637,1117,5.4968,379800
-120.11,39.21,18,2245,392,421,162,4.5795,158300
-122.27,37.8,39,1715,623,1327,467,1.8477,179200
-117.16,32.73,52,1682,617,873,534,2.0972,112500
-120.1,36.21,12,1462,356,1708,367,1.5086,64700
-117.37,34.13,17,2681,470,1621,459,3.875,118500
-118.44,33.96,33,2799,491,978,447,5.6435,500001
-118.1,33.79,36,3359,596,1522,565,5.1805,249400
-119.27,36.32,9,3631,635,1881,628,4.7723,113100
-117.67,33.54,15,2423,435,1366,423,4.8906,181800
-122,37.96,28,4071,713,2033,647,4.5833,190700
-118.42,33.99,35,1724,419,1079,394,4.5521,263800
-119.61,36.56,34,1911,497,1886,481,1.625,53000
-118.16,34.18,44,1870,389,1345,391,1.8932,136100
-118.29,34.08,25,2459,823,2635,763,2.4,173900
-117.78,33.68,19,2500,331,1027,327,6.115,315600
-122.18,37.45,37,5257,1360,2128,1264,4,394300
-121,39.23,15,2809,450,1267,408,4.0426,191700
-118.29,34.04,48,1353,488,1945,487,2.4359,123700
-118.24,34.24,31,3019,469,1349,462,7.1463,394100
-118.29,34.08,38,380,130,445,140,1.9286,137500
-120.08,36.34,18,1524,414,2030,356,2.1153,112500
-118.24,34.15,20,2734,658,1562,607,3.3906,284100
-117.31,34.5,14,2443,447,883,465,2.1111,116700
-118.25,33.92,44,1737,363,1184,343,2.5363,95900
-122.27,37.86,52,1769,372,849,365,2.6914,218800
-118.3,33.84,37,1241,226,621,255,4.9196,232400
-118.33,33.79,29,4389,873,2069,901,4.1071,365600
-119.72,34.42,49,1610,370,961,351,2.6983,260100
-121.99,37.53,25,5405,939,2831,923,5.0423,222200
-121.36,39.52,15,2490,527,1229,497,2.3917,85700
-118.44,34.16,33,1616,322,580,311,4.0391,337500
-117.24,33.23,13,3756,648,1767,614,4.0776,196000
-117.92,33.81,34,988,173,759,184,5.6047,205100
-119.72,34.41,26,1648,378,954,405,3.2895,335000
-117.62,34.13,20,3216,516,1655,524,5.1261,158800
-118.43,34.04,42,2725,569,1115,516,4.5833,427500
-118.33,33.97,44,2526,579,1423,573,2.5363,158800
-121.86,37.41,16,2938,589,1718,568,5.5073,178900
-124.35,40.54,52,1820,300,806,270,3.0147,94600
-117.96,33.79,36,2398,403,1261,402,5.2816,221800
-118.15,33.89,30,4426,995,4196,921,3.274,148300
-114.98,33.07,18,1183,363,374,127,3.1607,57500
-121.14,40.29,17,1944,394,384,172,1.6875,111500
-121.75,38.55,33,2479,382,979,377,4.7308,236200
-118.33,33.96,42,2084,517,1062,451,2.0057,198200
-122.29,37.84,35,1872,419,1017,414,2.2106,132500
-118.44,34.24,36,1660,301,1225,307,4.095,184000
-122.47,38.5,23,2191,415,959,361,4.1993,214500
-122.01,37.3,25,4044,551,1699,533,8.0837,380600
-120.35,36.16,18,1519,296,846,272,2.7792,85300
-120.85,37.77,20,651,157,421,151,2.0833,77300
-122.26,40.58,14,2539,466,1271,438,3.9762,138500
-122.44,37.77,52,5604,1268,2023,1196,4.4085,400000
-118.37,34.13,28,4287,627,1498,615,8.5677,500001
-119.28,34.27,44,706,176,399,149,3.0089,166700
-118.48,34.01,31,2851,804,1410,782,4.0893,381500
-121.03,39.26,49,3739,759,1422,606,2.4283,143100
-115.56,32.78,35,1185,202,615,191,4.6154,86200
-116.9,33.03,11,3213,634,1975,579,3.475,167200
-117.3,33.26,23,1678,275,1227,264,4.1713,133800
-122.47,38.51,18,2487,516,980,503,3.5506,187500
-118.38,34.22,32,362,100,348,102,2.2679,150000
-118.25,34.17,52,1532,292,631,275,5.1242,372900
-118.18,33.78,36,1697,550,1379,434,1.2746,129700
-118.13,33.87,20,3638,868,2326,822,3.3304,194600
-122.25,40.15,15,1677,346,858,327,2.4375,59200
-119.64,36.31,27,1513,314,1071,284,1.5909,50100
-119.85,36.82,15,1387,236,638,195,5.5842,88900
-122.48,37.68,31,3506,653,2296,645,5.5647,268700
-117.69,33.55,4,1764,220,705,224,8.3275,384200
-119.56,36.53,19,2746,495,1670,518,3.2019,95700
-121.48,39.05,40,198,41,151,48,4.5625,100000
-117.13,32.71,44,1697,413,1396,363,1.5474,83300
-122.89,38.42,28,2388,437,1015,381,5.1512,268300
-122.17,37.76,33,1280,307,999,286,2.5625,89300
-118.36,33.86,37,1249,218,583,214,5.7422,330700
-121.92,36.63,40,1076,193,406,180,3.4943,311100
-121.53,38.61,5,8149,1913,2933,1616,3.6788,178800
-118.54,34.26,22,5303,838,2372,807,5.6912,311800
-118.37,33.96,26,138,23,100,20,4.875,175000
-118.1,34.58,32,1489,306,774,267,3.275,103500
-119.66,36.32,24,2652,568,1532,445,2.3256,56800
-118.24,33.94,37,869,241,1040,233,2,84200
-118.48,34.04,49,3780,741,1435,690,4.3158,500001
-118.01,33.89,33,2046,327,1018,320,4.2292,212800
-122.08,37.58,15,2576,418,1657,410,5.5218,254400
-118.14,34.69,34,1439,327,708,298,3.2699,100000
-116.92,32.86,11,2204,518,1472,497,2.3693,127000
-121.89,37.31,40,1844,340,719,305,3.3682,235200
-118.28,34.08,40,1630,543,1568,510,2.7366,169100
-119.8,36.68,31,2214,432,1326,416,2.1691,66700
-122.05,37.93,5,4274,1153,1503,881,4.0473,266500
-121.38,38.64,19,4563,1069,2256,926,2.1472,143400
-122.28,37.85,44,1025,198,506,204,1.73,147900
-117.99,33.71,19,1967,487,1251,404,3.6696,218800
-118.55,34.03,35,9075,1858,3646,1724,6.0307,500001
-122.09,37.97,5,5303,779,2017,727,6.9961,294100
-116.43,33.75,24,2596,438,473,237,3.7727,500001
-117.05,32.58,25,2185,370,1558,369,5.3072,132700
-121.99,37.37,27,1797,538,1610,531,4.2422,237500
-118.12,34.15,19,557,216,673,212,2.1763,168800
-117.94,33.84,28,604,207,615,212,3.6214,182100
-118.75,34.17,18,6217,858,2703,834,6.8075,325900
-121.68,36.67,26,5745,1017,2780,996,5,202300
-122.42,40.6,5,2614,433,1275,411,3.4464,122900
-122.06,37.34,13,2057,466,790,436,5.0081,288300
-118.06,34.1,42,1576,313,697,282,4.3523,283600
-122.43,37.7,19,1733,354,959,348,4.7708,281700
-117.32,33.25,7,2499,420,1314,398,4.85,186900
-118.2,34.04,44,1399,386,1419,373,1.8224,143800
-118.36,34.2,14,1878,614,1874,559,2.5267,231800
-117.08,33.23,14,3337,571,1385,512,4.15,272200
-117.98,33.89,18,2939,437,1278,435,7.1425,393700
-120.44,37.31,16,3369,532,1770,574,5.2662,126200
-121.62,39.13,41,1147,243,583,239,2.2431,63400
-120.94,37.7,25,1005,159,390,139,4.4,174100
-119.27,36.39,17,2076,350,998,340,4.3281,145700
-121.3,38.13,26,2256,360,937,372,5.0528,153700
-116.53,33.84,28,8399,1839,3470,1340,2.5885,159000
-120.45,34.65,25,980,276,896,245,2,87500
-122.31,37.92,43,2116,407,900,361,4.1587,212200
-117.02,32.69,7,6055,1004,3031,952,4.436,135000
-117.73,33.53,3,6388,920,2129,819,7.8915,420600
-118.08,34.56,14,5144,887,2846,824,4.5615,137200
-122.72,38.44,48,707,166,458,172,3.1797,140400
-117.97,34.09,31,2779,639,2259,670,3.4032,143400
-118.07,34.15,45,1095,237,672,234,3.4087,209200
-120.77,38.38,15,4221,816,1737,743,2.3125,128600
-117.07,33.12,21,4578,927,2818,900,3.1458,187700
-118.48,34,52,1359,395,521,368,2.6736,500001
-122.26,37.82,31,4596,1331,2048,1180,2.8345,183800
-121.79,36.64,11,32627,6445,28566,6082,2.3087,118800
-117.8,33.64,8,4447,713,1680,705,8.8693,450400
-120.8,37.53,29,1162,254,726,225,2.1932,90600
-117.25,32.74,36,1830,430,755,419,2.9904,286800
-122.07,37.34,33,1208,198,495,216,5.4659,500001
-118.61,34.59,5,4028,896,2062,826,4.0579,167100
-121.73,38.54,18,974,317,521,317,1.0633,137500
-122.16,38.05,52,1888,457,830,408,3.1373,185100
-122.02,37.95,22,3526,510,1660,508,5.6642,237000
-116.94,32.81,8,2517,632,1686,613,2.136,143500
-118.19,34.05,29,855,199,785,169,2.6964,122200
-118.01,33.94,36,1921,329,969,327,4.9191,188700
-117.96,34.14,33,1994,405,993,403,3.766,163900
-123.26,41.86,25,2344,532,1117,424,2.7222,64600
-121.87,37.41,17,3719,588,2089,561,6.7867,273700
-118.14,34.71,33,2347,461,1482,374,2.8194,93000
-122.08,37.63,34,1619,293,1148,310,4.0326,164700
-121.93,37.76,5,2255,269,876,258,10.3345,461400
-117.59,33.88,13,3239,849,2751,813,2.6111,107000
-117.21,32.74,45,3025,583,1980,550,2.2982,87500
-121.99,36.98,40,1104,224,669,215,4.3409,256300
-117.67,34.12,15,3162,495,1145,473,5.3525,191700
-121.32,38,21,1795,482,1114,472,2.0091,101500
-118.14,33.91,34,1766,410,974,404,3.0703,180800
